사업체특성별(1),사업체특성별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021
사업체특성별(1),사업체특성별(2),전체,잘 알고 있다,잘 알고 있다,대충 알고 있다,대충 알고 있다,들어본 적은 있다,들어본 적은 있다,모른다,모른다,전체,잘 알고 있다,잘 알고 있다,대충 알고 있다,대충 알고 있다,들어본 적은 있다,들어본 적은 있다,모른다,모른다,전체,잘 알고 있다,잘 알고 있다,대충 알고 있다,대충 알고 있다,들어본 적은 있다,들어본 적은 있다,모른다,모른다,전체,잘 알고 있다,잘 알고 있다,대충 알고 있다,대충 알고 있다,들어본 적은 있다,들어본 적은 있다,모른다,모른다,전체,잘 알고 있다,잘 알고 있다,대충 알고 있다,대충 알고 있다,들어본 적은 있다,들어본 적은 있다,모른다,모른다
사업체특성별(1),사업체특성별(2),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개),비율 (%),빈도 (개)
전체,소계,747749,31.3,234266,25.5,190441,20.1,150579,23.1,172462,762032,32.0,244137,27.6,210212,24.4,185560,16.0,122123,799361,37.9,303237,27.1,216240,21.5,172041,13.5,107844,823819,41.4,341013,25.9,213301,19.5,160426,13.2,109079,773551,46.6,360219,26.1,201623,13.9,107277,13.5,104432
업종별,광업,616,25.4,157,28.3,175,16.1,99,30.2,186,632,11.5,72,17.4,110,22.9,145,48.2,305,580,30.6,177,51.6,299,16.8,98,1.0,6,584,21.1,123,30.0,175,27.6,161,21.2,124,597,23.3,139,29.1,174,17.5,104,30.1,180
업종별,제조업,153730,27.6,42357,39.6,60881,17.0,26154,15.8,24339,161183,39.6,63867,31.3,50376,21.1,33990,8.0,12950,160282,16.7,26690,30.2,48398,27.3,43821,25.8,41373,162760,53.8,87554,24.7,40157,15.9,25916,5.6,9132,154294,58.4,90170,31.9,49173,8.3,12819,1.4,2132
업종별,전기 가스 증기 및 공기 조절 공급업,822,61.6,506,19.1,157,10.8,88,8.6,71,667,58.2,388,20.3,135,15.1,100,6.4,43,889,75.3,670,18.7,166,3.5,31,2.5,22,950,83.1,789,14.7,139,2.3,22,0.0,0,958,85.4,818,8.2,78,3.4,32,3.0,29
업종별,수도 하수 및 폐기물 처리 원료 재생업,4172,35.0,1458,27.2,1137,20.1,837,17.7,740,4183,23.6,987,36.8,1539,24.5,1027,15.1,630,4402,24.6,1085,30.5,1342,34.0,1497,10.9,478,4521,19.0,857,38.1,1724,24.5,1107,18.4,833,5235,25.9,1357,49.2,2573,7.1,369,17.9,935
업종별,건설업,61117,19.6,11980,24.8,15176,23.4,14330,32.1,19631,61480,21.1,12953,25.1,15441,15.6,9602,38.2,23485,64689,36.0,23310,34.7,22459,17.1,11063,12.1,7857,72395,19.7,14273,25.4,18370,14.9,10795,40.0,28958,67896,20.5,13893,32.6,22103,15.6,10601,31.4,21300
업종별,도매 및 소매업,123274,22.5,27714,16.1,19798,28.5,35126,33.0,40635,128492,23.4,30075,27.7,35546,33.1,42536,15.8,20335,133455,25.7,34297,41.3,55165,11.5,15298,21.5,28695,135819,34.9,47411,44.8,60792,14.3,19416,6.0,8200,124673,43.1,53751,19.0,23748,15.8,19700,22.0,27474
업종별,운수 및 창고업,23359,45.7,10684,24.0,5600,15.9,3725,14.3,3350,23190,35.0,8119,23.4,5419,24.1,5591,17.5,4062,24395,54.3,13251,18.2,4438,21.9,5334,5.6,1372,23941,23.6,5657,21.0,5038,13.9,3334,41.4,9912,22314,35.4,7888,43.5,9713,20.5,4582,0.6,131
업종별,숙박 및 음식점업,95868,22.1,21151,10.9,10424,30.4,29126,36.7,35167,100382,14.2,14232,19.5,19566,37.2,37340,29.1,29243,109517,38.2,41853,9.8,10771,38.1,41762,13.8,15130,116509,19.7,22985,21.5,25088,45.1,52531,13.7,15906,83464,19.9,16651,43.6,36351,30.3,25324,6.2,5138
업종별,정보통신업,17093,53.2,9088,23.4,4007,9.5,1620,13.9,2379,16895,35.7,6035,20.3,3436,13.9,2344,30.1,5080,16960,45.6,7736,39.4,6690,13.5,2285,1.5,249,16346,75.8,12391,15.1,2467,7.6,1241,1.5,247,22208,74.3,16506,20.6,4571,5.1,1131,0.0,0
업종별,금융 및 보험업,30827,45.5,14016,40.2,12405,9.9,3050,4.4,1356,27272,55.0,15003,27.4,7485,15.3,4164,2.3,620,29796,60.9,18136,24.6,7334,11.2,3323,3.4,1002,28799,63.4,18249,26.1,7524,5.8,1658,4.8,1368,26517,74.4,19732,14.0,3708,7.0,1845,4.6,1231
업종별,부동산업,26257,23.8,6259,29.6,7781,18.0,4739,28.5,7479,24058,25.1,6031,36.5,8785,25.6,6150,12.9,3093,24404,36.5,8905,26.1,6359,33.3,8132,4.1,1009,26426,45.3,11981,27.2,7176,23.4,6194,4.1,1075,25708,45.0,11564,20.5,5258,21.3,5474,13.3,3413
업종별,전문 과학 및 기술서비스업,36677,36.5,13377,28.2,10337,15.4,5640,20.0,7323,35653,41.9,14929,32.2,11478,21.1,7508,4.9,1738,39351,50.8,19999,29.1,11440,16.7,6586,3.4,1325,40018,53.3,21330,22.3,8920,15.5,6187,8.9,3581,44337,63.4,28095,21.4,9470,6.6,2911,8.7,3861
업종별,사업시설관리 사업 지원 및 임대 서비스업,19169,41.3,7912,27.6,5292,16.0,3074,15.1,2891,22351,44.3,9900,21.9,4890,21.3,4752,12.6,2809,22051,58.3,12851,24.3,5364,15.4,3404,2.0,431,22742,59.1,13430,20.6,4686,15.9,3613,4.5,1013,23862,59.0,14070,25.4,6073,15.6,3720,0.0,0
업종별,교육서비스업,32458,39.0,12651,22.0,7152,17.3,5617,21.7,7037,34734,37.9,13158,28.4,9861,22.7,7893,11.0,3822,38053,58.6,22302,16.6,6325,18.6,7064,6.2,2362,38388,51.0,19564,18.8,7208,14.3,5472,16.0,6144,44344,53.1,23533,21.6,9595,10.3,4559,15.0,6658
업종별,보건업 및 사회복지서비스업,77996,51.0,39793,24.7,19274,11.8,9213,12.5,9716,80405,46.6,37470,30.3,24348,14.9,11945,8.3,6642,87720,65.7,57609,23.4,20485,9.4,8204,1.6,1423,89801,52.5,47170,16.4,14716,12.6,11348,18.4,16567,90523,52.3,47300,14.7,13265,9.7,8740,23.4,21218
업종별,예술 스포츠 및 여가관련서비스업,11831,36.2,4286,25.7,3045,19.1,2261,18.9,2240,12384,32.1,3975,25.9,3206,23.5,2915,18.5,2288,14273,39.3,5614,14.4,2052,40.6,5799,5.7,807,15129,51.2,7743,20.6,3122,21.8,3303,6.4,962,12344,53.9,6651,12.9,1590,16.9,2090,16.3,2013
업종별,협회 및 단체 수리 및 기타 개인서비스업,32483,33.5,10877,24.0,7802,18.1,5881,24.4,7923,28070,24.7,6944,30.6,8591,26.9,7557,17.7,4979,28544,30.7,8752,25.0,7149,29.2,8339,15.1,4303,28691,33.1,9506,20.9,5997,28.3,8130,17.6,5057,24277,33.4,8101,17.2,4181,13.5,3273,35.9,8721
종사자규모별,5~9인,448496,24.6,110157,23.4,104888,23.5,105359,28.6,128093,466751,25.0,116795,25.5,118973,28.2,131464,21.3,99519,485063,34.3,166448,25.0,121502,23.9,115913,16.7,81201,505322,34.5,174366,24.6,124303,24.0,121527,16.8,85126,455277,41.3,187944,26.4,120221,18.0,81885,14.3,65227
종사자규모별,10~29인,219394,37.5,82255,26.2,57437,16.7,36666,19.6,43036,218971,37.3,81662,33.4,73095,19.5,42781,9.8,21433,233022,35.1,81817,32.3,75260,21.2,49301,11.4,26644,235737,46.5,109547,29.1,68488,14.6,34449,9.9,23253,228740,49.3,112704,26.8,61350,9.2,21071,14.7,33616
종사자규모별,30~99인,63380,47.0,29761,39.2,24846,11.8,7497,2.0,1276,59693,56.5,33732,26.4,15745,15.2,9075,1.9,1142,64603,65.8,42502,25.3,16322,8.9,5779,0.0,0,65841,65.5,43156,26.6,17537,6.8,4448,1.1,699,71243,61.8,43995,24.3,17338,6.1,4321,7.8,5589
종사자규모별,100~299인,13123,68.2,8951,23.7,3107,7.7,1007,0.4,57,10276,63.1,6483,20.0,2056,16.6,1706,0.3,30,13194,71.2,9390,21.8,2879,7.0,926,0.0,0,13349,79.9,10671,20.0,2676,0.0,2,0.0,0,14487,83.8,12138,16.2,2349,0.0,0,0.0,0
종사자규모별,300인 이상,3356,93.6,3142,4.9,163,1.5,51,0.0,0,6341,86.2,5465,5.4,342,8.4,534,0.0,0,3479,88.5,3080,7.9,276,3.5,123,0.0,0,3570,91.7,3273,8.3,297,0.0,0,0.0,0,3804,90.4,3439,9.6,365,0.0,0,0.0,0
지역별,서울특별시,160712,30.6,49244,24.6,39460,17.7,28435,27.1,43573,157113,31.0,48767,24.9,39119,26.0,40783,18.1,28443,174448,38.8,67675,24.9,43376,21.9,38199,14.4,25199,170301,41.5,70651,27.3,46502,18.1,30755,13.1,22394,146921,48.4,71173,25.4,37277,12.2,17884,14.0,20587
지역별,부산광역시,49400,30.7,15173,25.6,12638,16.2,7990,27.5,13598,53728,33.5,18003,28.1,15115,23.3,12506,15.1,8104,52567,28.1,14778,21.6,11346,28.1,14759,22.2,11684,63191,38.7,24465,24.6,15569,17.7,11214,18.9,11943,57869,43.9,25423,25.8,14912,17.6,10196,12.7,7338
지역별,대구광역시,33614,28.3,9502,29.3,9843,16.2,5461,26.2,8808,31632,25.0,7895,28.5,9022,27.9,8828,18.6,5886,40824,38.9,15861,25.3,10347,21.6,8832,14.2,5784,32430,43.3,14056,30.8,9975,16.2,5243,9.7,3156,32795,50.1,16442,21.2,6969,13.4,4391,15.2,4994
지역별,인천광역시,39426,27.0,10656,24.7,9722,27.6,10882,20.7,8166,37382,31.5,11776,28.8,10771,19.3,7216,20.4,7618,35781,59.4,21242,16.8,6013,17.6,6301,6.2,2226,48088,40.9,19683,22.3,10736,23.1,11120,13.6,6549,38666,40.9,15824,27.0,10452,17.8,6889,14.2,5502
지역별,광주광역시,24739,30.7,7595,27.3,6751,23.9,5908,18.1,4486,19313,39.8,7696,20.1,3886,26.5,5125,13.5,2606,21901,39.7,8699,34.9,7647,16.9,3710,8.4,1845,25000,40.9,10235,18.6,4642,26.0,6502,14.5,3621,21107,49.4,10435,15.2,3213,15.7,3319,19.6,4140
지역별,대전광역시,22403,36.1,8096,25.0,5603,13.3,2984,25.5,5721,21427,28.9,6187,25.8,5534,28.2,6033,17.1,3674,21214,36.0,7638,47.0,9976,16.0,3388,1.0,211,21108,35.6,7522,23.1,4886,30.7,6488,10.5,2211,18056,41.3,7460,32.3,5826,21.9,3954,4.5,816
지역별,울산광역시,13654,48.0,6554,20.3,2768,13.1,1788,18.6,2543,19184,31.4,6023,27.0,5175,19.5,3745,22.1,4242,15655,36.1,5648,15.5,2431,32.1,5030,16.3,2547,16514,41.3,6820,34.2,5652,11.9,1973,12.5,2069,16080,40.3,6479,24.9,3999,19.3,3100,15.6,2501
지역별,경기도,180175,28.3,50998,26.1,47056,24.2,43519,21.4,38602,181544,28.0,50906,33.8,61344,24.1,43687,14.1,25607,212607,37.0,78611,31.5,67008,20.2,42901,11.3,24088,209415,40.2,84263,23.9,50104,23.8,49877,12.0,25172,203413,46.7,94923,28.2,57398,13.9,28290,11.2,22802
지역별,강원도,25485,28.4,7246,36.5,9302,18.9,4811,16.2,4126,23852,33.9,8090,28.4,6780,21.9,5234,15.7,3748,21703,44.8,9717,29.5,6392,15.5,3370,10.2,2224,26148,38.7,10110,25.4,6649,17.6,4609,18.3,4780,26830,39.0,10455,24.8,6642,18.7,5004,17.6,4729
지역별,충청북도,21992,35.9,7891,28.1,6178,23.7,5222,12.3,2701,27882,29.1,8103,27.6,7690,28.4,7922,14.9,4166,30888,43.3,13372,22.3,6884,26.6,8202,7.9,2431,23479,46.1,10834,35.2,8267,7.9,1848,10.8,2530,23343,46.7,10895,28.7,6705,11.3,2627,13.3,3116
지역별,충청남도,27731,33.7,9351,18.0,4984,25.6,7112,22.7,6284,36103,40.2,14519,28.2,10177,15.8,5712,15.8,5695,27114,34.4,9337,23.1,6275,18.3,4972,24.1,6530,36467,51.5,18778,25.3,9243,13.7,5012,9.4,3434,38732,45.6,17658,30.9,11952,12.3,4770,11.2,4352
지역별,전라북도,23682,34.7,8217,27.0,6392,18.8,4459,19.5,4614,26143,24.9,6504,29.8,7785,26.7,6977,18.7,4877,48751,39.3,19150,22.4,10928,16.0,7805,22.3,10868,25418,45.9,11677,32.8,8340,13.1,3340,8.1,2061,23754,48.6,11536,21.8,5189,11.2,2651,18.4,4378
지역별,전라남도,26059,34.7,9038,25.0,6522,20.4,5309,19.9,5190,27669,45.4,12551,24.9,6878,23.5,6503,6.3,1738,36456,31.4,11449,29.3,10668,28.4,10348,10.9,3991,25913,39.2,10152,28.7,7444,20.2,5244,11.9,3073,28092,51.2,14394,24.4,6843,13.2,3697,11.2,3158
지역별,경상북도,36808,37.5,13793,25.8,9507,11.1,4103,25.6,9405,38510,33.9,13045,27.3,10518,25.3,9744,13.5,5203,24620,29.8,7346,27.0,6655,29.4,7238,13.7,3380,42361,43.0,18224,26.0,11012,15.9,6733,15.1,6392,30814,47.9,14769,25.3,7784,9.5,2937,17.3,5323
지역별,경상남도,51704,34.8,17971,22.6,11680,17.2,8907,25.4,13147,52962,40.6,21499,16.9,8946,26.1,13801,16.5,8716,24408,30.8,7511,25.8,6304,23.9,5841,19.5,4752,45664,42.8,19539,22.3,10175,19.8,9057,15.1,6893,53603,49.0,26281,22.8,12232,11.4,6101,16.8,8989
지역별,제주특별자치도,10165,28.9,2941,20.0,2036,36.3,3690,14.7,1498,7589,33.9,2572,19.4,1473,23.0,1744,23.7,1800,10422,49.9,5203,38.3,3991,11.0,1144,0.8,83,12322,32.5,4005,33.3,4105,11.4,1411,22.7,2801,13478,45.1,6072,31.4,4229,10.9,1468,12.7,1709