시점,전국
1965,2.611
1966,2.905
1967,3.221
1968,3.568
1969,4.010
1970,4.650
1971,5.278
1972,5.895
1973,6.085
1974,7.564
1975,9.473
1976,10.925
1977,12.029
1978,13.768
1979,16.290
1980,20.965
1981,25.442
1982,27.271
1983,28.204
1984,28.845
1985,29.555
1986,30.368
1987,31.293
1988,33.530
1989,35.441
1990,38.480
1991,42.071
1992,44.685
1993,46.831
1994,49.765
1995,51.995
1996,54.555
1997,56.977
1998,61.258
1999,61.756
2000,63.151
2001,65.719
2002,67.534
2003,69.908
2004,72.418
2005,74.413
2006,76.081
2007,78.010
2008,81.656
2009,83.906
2010,86.373
2011,89.850
2012,91.815
2013,93.010
2014,94.196
2015,94.861
2016,95.783
2017,97.645
2018,99.086
2019,99.466
2020,100.00